Elapsed_Seconds,Temp_C,Freq_MHz,Mem_Used_MB,Throttle_Flag
478.7956,81.50,2256.0,1830.8,1
478.9930,83.15,2256.0,1830.8,1
479.1945,83.15,2256.0,1831.0,1
479.3972,83.15,2256.0,1831.5,1
479.5942,83.70,2201.0,1831.2,1
479.7982,82.05,2366.0,1831.3,1
479.9994,83.15,2256.0,1831.0,1
480.1983,82.60,2311.0,1831.0,1
480.3976,82.60,2311.0,1830.3,1
480.6034,83.15,2256.0,1830.3,1
480.7987,83.70,2201.0,1830.3,1
481.0012,84.25,2146.0,1831.3,1
481.2049,83.70,2201.0,1831.7,1
481.4015,82.05,2366.0,1831.9,1
481.6050,82.05,2366.0,1831.9,1
481.8064,81.50,2311.0,1832.3,1
482.0019,83.15,2256.0,1832.3,1
482.2045,83.15,2201.0,1832.3,1
482.4028,82.05,2366.0,1832.4,1
482.6094,83.70,1500.0,1832.4,1
482.8012,82.05,2366.0,1832.4,1
483.0043,83.15,2256.0,1832.2,1
483.2184,82.05,2366.0,1832.2,1
483.4050,82.05,2366.0,1831.7,1
483.6035,83.70,2201.0,1831.7,1
483.8071,83.15,2311.0,1831.7,1
484.0025,82.60,2311.0,1831.7,1
484.2102,84.25,2146.0,1832.0,1
484.4124,83.15,2201.0,1831.2,1
484.6151,83.70,2201.0,1831.0,1
484.8109,83.15,2256.0,1831.4,1
485.0109,83.70,2146.0,1831.5,1
485.2077,84.25,2146.0,1831.5,1
485.4152,83.15,2256.0,1831.0,1
485.6080,84.25,2146.0,1831.0,1
485.8154,83.70,2201.0,1831.0,1
486.0104,83.70,2201.0,1831.0,1
486.2114,83.15,2256.0,1831.4,1
486.4074,83.15,2256.0,1832.0,1
486.6157,82.60,2311.0,1832.0,1
486.8099,83.70,2201.0,1832.0,1
487.0155,83.15,2201.0,1832.0,1
487.2194,82.60,2311.0,1831.8,0
487.4110,82.05,2366.0,1830.9,1
487.6132,83.15,2256.0,1831.9,1
487.8145,84.25,2146.0,1831.9,1
488.0116,84.25,2146.0,1831.9,1
488.2189,83.15,2256.0,1832.1,1
488.4182,82.60,2146.0,1831.4,1
488.6168,82.05,2366.0,1832.0,1
488.8157,83.15,2256.0,1832.2,1
489.0172,83.70,2201.0,1832.2,1
489.2139,83.70,2201.0,1832.2,1
489.4173,83.70,2201.0,1832.3,1
489.6187,83.15,2256.0,1832.3,1
489.8238,83.70,2201.0,1831.8,1
490.0214,83.70,2256.0,1831.8,1
490.2239,82.60,2311.0,1831.8,1
490.4170,82.05,2366.0,1832.1,1
490.6178,81.50,2400.0,1832.1,1
490.8209,82.60,2201.0,1832.1,1
491.0181,84.25,2146.0,1832.3,1
491.2192,83.70,2201.0,1832.3,1
491.4188,83.15,2256.0,1830.7,1
491.6195,83.70,2201.0,1831.0,1
491.8221,82.60,2201.0,1831.1,1
492.0194,82.60,2311.0,1831.1,1
492.2248,83.70,2201.0,1831.1,1
492.4178,83.70,2201.0,1831.4,1
492.6225,83.70,2201.0,1831.1,1
492.8214,83.70,2201.0,1831.8,1
493.0280,83.70,2146.0,1831.8,1
493.2261,83.15,2311.0,1832.1,1
493.4234,81.50,2311.0,1831.1,1
493.6195,83.70,2201.0,1831.1,1
493.8264,83.70,2201.0,1831.1,1
494.0188,82.05,2366.0,1831.4,1
494.2208,84.25,2146.0,1831.6,1
494.4229,82.05,2366.0,1831.6,0
494.6284,83.70,2256.0,1831.8,1
494.8194,83.15,2256.0,1832.1,1
495.0244,83.15,2256.0,1832.1,1
495.2231,83.70,2201.0,1832.1,1
495.4214,84.25,2146.0,1831.5,1
495.6289,83.70,2201.0,1831.5,1
495.8314,83.70,2201.0,1831.5,1
496.0325,82.05,2311.0,1831.9,1
496.2311,83.15,2256.0,1831.9,1
496.4303,84.25,2201.0,1832.1,1
496.6314,82.60,2311.0,1832.1,1
496.8255,83.70,2201.0,1832.3,1
497.0300,83.70,2201.0,1832.5,1
497.2311,83.70,2201.0,1832.5,1
497.4338,84.80,2201.0,1831.7,1
497.6270,84.25,2146.0,1831.7,1
497.8271,83.70,2201.0,1831.9,1
498.0284,83.70,2201.0,1832.2,1
498.2327,83.15,2256.0,1832.2,1
498.4514,83.15,2146.0,1831.9,1
498.6354,83.70,2366.0,1832.3,1
498.8373,82.60,2311.0,1832.4,1
499.0309,84.25,2146.0,1832.4,1
499.2357,85.35,1500.0,1832.4,1
499.4359,82.60,2146.0,1832.2,1
499.6355,83.70,2201.0,1832.2,1
499.8322,83.70,2201.0,1831.9,1
500.0376,82.60,2311.0,1831.9,1
500.2348,84.25,2146.0,1831.9,1
500.4336,82.60,2311.0,1831.2,1
500.6383,84.25,2146.0,1831.7,1
